GEOID,Tract Name,Median Household Income
22071011600,Census Tract 116; Orleans Parish; Louisiana,216250
22071011700,Census Tract 117; Orleans Parish; Louisiana,201016
22071000612,Census Tract 6.12; Orleans Parish; Louisiana,173225
22071013301,Census Tract 133.01; Orleans Parish; Louisiana,164615
22071007604,Census Tract 76.04; Orleans Parish; Louisiana,163750
22071005602,Census Tract 56.02; Orleans Parish; Louisiana,156250
22071012000,Census Tract 120; Orleans Parish; Louisiana,153229
22071010800,Census Tract 108; Orleans Parish; Louisiana,148233
22071014200,Census Tract 142; Orleans Parish; Louisiana,136500
22071011500,Census Tract 115; Orleans Parish; Louisiana,133750
22071007608,Census Tract 76.08; Orleans Parish; Louisiana,130833
22071009600,Census Tract 96; Orleans Parish; Louisiana,128750
22071013302,Census Tract 133.02; Orleans Parish; Louisiana,128365
22071005603,Census Tract 56.03; Orleans Parish; Louisiana,126473
22071000618,Census Tract 6.18; Orleans Parish; Louisiana,116548
22071008300,Census Tract 83; Orleans Parish; Louisiana,114167
22071003301,Census Tract 33.01; Orleans Parish; Louisiana,113000
22071005601,Census Tract 56.01; Orleans Parish; Louisiana,112630
22071012800,Census Tract 128; Orleans Parish; Louisiana,111477
22071012500,Census Tract 125; Orleans Parish; Louisiana,110625
22071002600,Census Tract 26; Orleans Parish; Louisiana,110167
22071014400,Census Tract 144; Orleans Parish; Louisiana,110000
22071009000,Census Tract 90; Orleans Parish; Louisiana,109306
22071011200,Census Tract 112; Orleans Parish; Louisiana,107540
22071010900,Census Tract 109; Orleans Parish; Louisiana,106875
22071012700,Census Tract 127; Orleans Parish; Louisiana,105170
22071013502,Census Tract 135.02; Orleans Parish; Louisiana,103603
22071008800,Census Tract 88; Orleans Parish; Louisiana,103375
22071007700,Census Tract 77; Orleans Parish; Louisiana,102019
22071006300,Census Tract 63; Orleans Parish; Louisiana,101477
22071012200,Census Tract 122; Orleans Parish; Louisiana,97727
22071009700,Census Tract 97; Orleans Parish; Louisiana,97204
22071005604,Census Tract 56.04; Orleans Parish; Louisiana,96719
22071001747,Census Tract 17.47; Orleans Parish; Louisiana,96667
22071003302,Census Tract 33.02; Orleans Parish; Louisiana,95676
22071009900,Census Tract 99; Orleans Parish; Louisiana,95156
22071004500,Census Tract 45; Orleans Parish; Louisiana,94583
22071007607,Census Tract 76.07; Orleans Parish; Louisiana,94489
22071000100,Census Tract 1; Orleans Parish; Louisiana,92750
22071007800,Census Tract 78; Orleans Parish; Louisiana,90290
22071004100,Census Tract 41; Orleans Parish; Louisiana,89386
22071012102,Census Tract 121.02; Orleans Parish; Louisiana,86771
22071010600,Census Tract 106; Orleans Parish; Louisiana,86563
22071002504,Census Tract 25.04; Orleans Parish; Louisiana,86442
22071005000,Census Tract 50; Orleans Parish; Louisiana,85375
22071010700,Census Tract 107; Orleans Parish; Louisiana,83690
22071006500,Census Tract 65; Orleans Parish; Louisiana,83571
22071012400,Census Tract 124; Orleans Parish; Louisiana,80486
22071000606,Census Tract 6.06; Orleans Parish; Louisiana,80242
22071010200,Census Tract 102; Orleans Parish; Louisiana,78816
22071005500,Census Tract 55; Orleans Parish; Louisiana,78750
22071013600,Census Tract 136; Orleans Parish; Louisiana,77738
22071006400,Census Tract 64; Orleans Parish; Louisiana,77516
22071011400,Census Tract 114; Orleans Parish; Louisiana,77336
22071013501,Census Tract 135.01; Orleans Parish; Louisiana,76215
22071010100,Census Tract 101; Orleans Parish; Louisiana,74750
22071011900,Census Tract 119; Orleans Parish; Louisiana,74625
22071000616,Census Tract 6.16; Orleans Parish; Louisiana,73409
22071013000,Census Tract 130; Orleans Parish; Louisiana,73016
22071001749,Census Tract 17.49; Orleans Parish; Louisiana,72368
22071001800,Census Tract 18; Orleans Parish; Louisiana,72350
22071008400,Census Tract 84; Orleans Parish; Louisiana,71667
22071013900,Census Tract 139; Orleans Parish; Louisiana,71429
22071004600,Census Tract 46; Orleans Parish; Louisiana,71419
22071013200,Census Tract 132; Orleans Parish; Louisiana,70686
22071001745,Census Tract 17.45; Orleans Parish; Louisiana,70000
22071012900,Census Tract 129; Orleans Parish; Louisiana,69545
22071001758,Census Tract 17.58; Orleans Parish; Louisiana,68797
22071001200,Census Tract 12; Orleans Parish; Louisiana,67490
22071001739,Census Tract 17.39; Orleans Parish; Louisiana,66528
22071012600,Census Tract 126; Orleans Parish; Louisiana,66500
22071003701,Census Tract 37.01; Orleans Parish; Louisiana,65219
22071011100,Census Tract 111; Orleans Parish; Louisiana,64375
22071009100,Census Tract 91; Orleans Parish; Louisiana,64068
22071005400,Census Tract 54; Orleans Parish; Louisiana,62372
22071000617,Census Tract 6.17; Orleans Parish; Louisiana,62329
22071012101,Census Tract 121.01; Orleans Parish; Louisiana,62222
22071002503,Census Tract 25.03; Orleans Parish; Louisiana,61974
22071001748,Census Tract 17.48; Orleans Parish; Louisiana,61127
22071002501,Census Tract 25.01; Orleans Parish; Louisiana,60000
22071013400,Census Tract 134; Orleans Parish; Louisiana,59180
22071012300,Census Tract 123; Orleans Parish; Louisiana,58438
22071000607,Census Tract 6.07; Orleans Parish; Louisiana,57693
22071001723,Census Tract 17.23; Orleans Parish; Louisiana,57586
22071008200,Census Tract 82; Orleans Parish; Louisiana,56690
22071010000,Census Tract 100; Orleans Parish; Louisiana,55938
22071001740,Census Tract 17.40; Orleans Parish; Louisiana,55436
22071003702,Census Tract 37.02; Orleans Parish; Louisiana,55383
22071003800,Census Tract 38; Orleans Parish; Louisiana,54167
22071000400,Census Tract 4; Orleans Parish; Louisiana,53977
22071000604,Census Tract 6.04; Orleans Parish; Louisiana,53267
22071001302,Census Tract 13.02; Orleans Parish; Louisiana,53015
22071014101,Census Tract 141.01; Orleans Parish; Louisiana,52992
22071000902,Census Tract 9.02; Orleans Parish; Louisiana,51989
22071013100,Census Tract 131; Orleans Parish; Louisiana,50441
22071003900,Census Tract 39; Orleans Parish; Louisiana,50069
22071000615,Census Tract 6.15; Orleans Parish; Louisiana,49717
22071010300,Census Tract 103; Orleans Parish; Louisiana,49688
22071007502,Census Tract 75.02; Orleans Parish; Louisiana,49595
22071000800,Census Tract 8; Orleans Parish; Louisiana,48583
22071000901,Census Tract 9.01; Orleans Parish; Louisiana,48352
22071001753,Census Tract 17.53; Orleans Parish; Louisiana,47961
22071001724,Census Tract 17.24; Orleans Parish; Louisiana,47656
22071002401,Census Tract 24.01; Orleans Parish; Louisiana,47439
22071000200,Census Tract 2; Orleans Parish; Louisiana,46602
22071000702,Census Tract 7.02; Orleans Parish; Louisiana,45880
22071002402,Census Tract 24.02; Orleans Parish; Louisiana,44866
22071001755,Census Tract 17.55; Orleans Parish; Louisiana,44288
22071001757,Census Tract 17.57; Orleans Parish; Louisiana,43977
22071004000,Census Tract 40; Orleans Parish; Louisiana,43892
22071001702,Census Tract 17.02; Orleans Parish; Louisiana,43832
22071001900,Census Tract 19; Orleans Parish; Louisiana,43542
22071001737,Census Tract 17.37; Orleans Parish; Louisiana,42996
22071003100,Census Tract 31; Orleans Parish; Louisiana,42736
22071000605,Census Tract 6.05; Orleans Parish; Louisiana,42717
22071007000,Census Tract 70; Orleans Parish; Louisiana,42467
22071001752,Census Tract 17.52; Orleans Parish; Louisiana,42357
22071002000,Census Tract 20; Orleans Parish; Louisiana,41897
22071014102,Census Tract 141.02; Orleans Parish; Louisiana,41600
22071000602,Census Tract 6.02; Orleans Parish; Louisiana,41385
22071001754,Census Tract 17.54; Orleans Parish; Louisiana,41068
22071003400,Census Tract 34; Orleans Parish; Louisiana,40913
22071000611,Census Tract 6.11; Orleans Parish; Louisiana,40590
22071000701,Census Tract 7.01; Orleans Parish; Louisiana,40313
22071003303,Census Tract 33.03; Orleans Parish; Louisiana,39360
22071001301,Census Tract 13.01; Orleans Parish; Louisiana,36583
22071013701,Census Tract 137.01; Orleans Parish; Louisiana,36402
22071000904,Census Tract 9.04; Orleans Parish; Louisiana,36131
22071002100,Census Tract 21; Orleans Parish; Louisiana,35978
22071003600,Census Tract 36; Orleans Parish; Louisiana,35848
22071001402,Census Tract 14.02; Orleans Parish; Louisiana,35795
22071003304,Census Tract 33.04; Orleans Parish; Louisiana,35288
22071001100,Census Tract 11; Orleans Parish; Louisiana,34694
22071001756,Census Tract 17.56; Orleans Parish; Louisiana,33813
22071004401,Census Tract 44.01; Orleans Parish; Louisiana,33628
22071001401,Census Tract 14.01; Orleans Parish; Louisiana,33125
22071002502,Census Tract 25.02; Orleans Parish; Louisiana,32361
22071001743,Census Tract 17.43; Orleans Parish; Louisiana,32295
22071000300,Census Tract 3; Orleans Parish; Louisiana,31464
22071000603,Census Tract 6.03; Orleans Parish; Louisiana,31304
22071001746,Census Tract 17.46; Orleans Parish; Louisiana,31296
22071006000,Census Tract 60; Orleans Parish; Louisiana,31071
22071001750,Census Tract 17.50; Orleans Parish; Louisiana,30170
22071013800,Census Tract 138; Orleans Parish; Louisiana,29608
22071007605,Census Tract 76.05; Orleans Parish; Louisiana,29440
22071001744,Census Tract 17.44; Orleans Parish; Louisiana,29063
22071002300,Census Tract 23; Orleans Parish; Louisiana,29051
22071003308,Census Tract 33.08; Orleans Parish; Louisiana,28867
22071002700,Census Tract 27; Orleans Parish; Louisiana,28819
22071001701,Census Tract 17.01; Orleans Parish; Louisiana,28576
22071008500,Census Tract 85; Orleans Parish; Louisiana,28111
22071003500,Census Tract 35; Orleans Parish; Louisiana,27955
22071001500,Census Tract 15; Orleans Parish; Louisiana,27266
22071008600,Census Tract 86; Orleans Parish; Louisiana,26630
22071007200,Census Tract 72; Orleans Parish; Louisiana,25370
22071000619,Census Tract 6.19; Orleans Parish; Louisiana,24950
22071014300,Census Tract 143; Orleans Parish; Louisiana,24402
22071003000,Census Tract 30; Orleans Parish; Louisiana,23670
22071013702,Census Tract 137.02; Orleans Parish; Louisiana,23401
22071006900,Census Tract 69; Orleans Parish; Louisiana,23235
22071002900,Census Tract 29; Orleans Parish; Louisiana,23163
22071001736,Census Tract 17.36; Orleans Parish; Louisiana,22956
22071007501,Census Tract 75.01; Orleans Parish; Louisiana,22029
22071009200,Census Tract 92; Orleans Parish; Louisiana,20000
22071001720,Census Tract 17.20; Orleans Parish; Louisiana,18864
22071007101,Census Tract 71.01; Orleans Parish; Louisiana,18315
22071000903,Census Tract 9.03; Orleans Parish; Louisiana,18125
22071002200,Census Tract 22; Orleans Parish; Louisiana,17755
22071000601,Census Tract 6.01; Orleans Parish; Louisiana,17361
22071002800,Census Tract 28; Orleans Parish; Louisiana,16758
22071004800,Census Tract 48; Orleans Parish; Louisiana,16481
22071000620,Census Tract 6.20; Orleans Parish; Louisiana,14980
22071014000,Census Tract 140; Orleans Parish; Louisiana,13894
22071001751,Census Tract 17.51; Orleans Parish; Louisiana,11631
22071004900,Census Tract 49; Orleans Parish; Louisiana,11296
22071001600,Census Tract 16; Orleans Parish; Louisiana,-666666666
22071001741,Census Tract 17.41; Orleans Parish; Louisiana,-666666666
22071003307,Census Tract 33.07; Orleans Parish; Louisiana,-666666666
22071004402,Census Tract 44.02; Orleans Parish; Louisiana,-666666666
22071009400,Census Tract 94; Orleans Parish; Louisiana,-666666666
22071014500,Census Tract 145; Orleans Parish; Louisiana,-666666666
22071980000,Census Tract 9800; Orleans Parish; Louisiana,-666666666
22071980100,Census Tract 9801; Orleans Parish; Louisiana,-666666666
22071990000,Census Tract 9900; Orleans Parish; Louisiana,-666666666
